# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_favela
# Exported by: professor moretzsohn
setting:	replacespawns 1
ttt_random_weapon	-1760.877808 27.756603 1.206888	1.798 4.929 -92.775
ttt_random_weapon	-1184.326904 744.649414 -126.777863	1.625 4.988 -93.169
ttt_random_weapon	-1125.414429 745.985291 -126.782097	1.673 4.988 -93.059
ttt_random_weapon	-1124.655518 719.614136 -126.765068	1.481 4.973 -93.500
ttt_random_weapon	-1183.446411 720.200623 -126.779068	1.639 4.988 -93.138
ttt_random_weapon	-807.147461 470.042786 -126.762894	1.456 4.970 -93.557
ttt_random_weapon	-806.663269 446.521820 -126.781197	1.663 4.987 -93.083
ttt_random_weapon	-420.532928 676.419434 -254.780319	1.653 4.984 -93.105
ttt_random_weapon	-421.541016 720.465515 -254.773239	1.573 4.985 -93.289
ttt_random_weapon	-289.527252 1188.446533 -366.786469	1.723 4.982 -92.945
item_ammo_smg1_ttt	460.334869 -2285.801758 256.542480	0.563 0.430 0.518
item_ammo_smg1_ttt	447.695862 -2285.750000 256.511841	-0.957 0.359 -0.286
weapon_ttt_m16	825.913086 -2276.728516 136.879562	1.713 -5.188 84.211
item_box_buckshot_ttt	693.471558 -2287.706787 256.470581	-0.452 0.022 -0.816
item_box_buckshot_ttt	701.724915 -2287.629150 256.443512	-0.744 0.033 -1.343
ttt_random_ammo	708.086853 -530.803101 -567.538452	-0.800 -0.013 1.192
ttt_random_ammo	708.014282 -565.851929 -567.503723	-1.398 -0.041 1.964
ttt_random_ammo	707.880493 -545.112000 -567.537598	-0.047 6.254 0.913
ttt_random_ammo	-894.676697 -2066.595459 256.343079	-0.048 -0.000 -0.021
ttt_random_ammo	-863.196106 -2064.600586 256.435333	-1.426 -0.031 1.692
ttt_random_ammo	-997.667786 -2064.000977 256.335999	-0.047 -0.000 -0.027
ttt_random_ammo	-997.704773 -2083.217285 256.345367	-0.049 -0.000 -0.019
ttt_random_ammo	-997.763977 -2113.216553 256.358459	-0.060 -0.000 0.001
ttt_random_ammo	-997.820740 -2144.713623 256.461517	-1.144 -0.029 1.390
ttt_random_ammo	-997.903137 -2186.712646 256.476654	-0.658 -0.021 0.801
ttt_random_ammo	-802.199219 -2024.005737 256.390686	0.553 -0.004 -0.618
ttt_random_ammo	-800.646057 -1965.274292 256.367310	0.085 0.000 0.036
ttt_random_ammo	-802.323975 -1918.027710 256.449219	1.018 -0.027 -1.239
ttt_random_ammo	-940.228516 -1557.515015 256.402222	-0.650 -0.006 0.736
ttt_random_ammo	-911.322693 -1558.051392 256.335999	-0.047 -0.000 -0.027
ttt_random_ammo	-78.527946 -2142.867432 17.212698	1.246 -0.335 0.478
ttt_random_ammo	-78.553146 -2115.372803 17.558203	1.336 -0.474 0.138
ttt_random_ammo	-78.554688 -2083.568848 17.424692	-0.005 -0.258 -1.926
ttt_random_ammo	-78.754333 -2050.552734 16.477594	0.008 -0.832 -1.878
ttt_random_ammo	-79.129219 -2014.457275 16.694578	0.065 0.181 1.215
ttt_random_ammo	-79.560722 -1978.534790 17.433573	0.397 0.028 -0.936
ttt_random_ammo	-79.951584 -1945.719604 16.906206	-1.225 0.015 -1.426
ttt_random_ammo	-118.198013 -2134.458008 17.184719	-1.148 0.214 0.494
ttt_random_ammo	-117.326576 -2101.673584 17.162329	-2.971 0.130 -0.031
ttt_random_ammo	-116.449615 -2066.667236 17.014643	0.071 -0.841 -1.850
ttt_random_ammo	-115.911621 -2030.784302 16.449200	0.117 0.228 1.217
ttt_random_ammo	-115.522423 -1994.756958 17.056444	0.715 0.012 2.025
ttt_random_ammo	-115.258507 -1958.520264 17.265572	-0.570 -0.268 0.247
ttt_random_ammo	851.257568 -660.597107 -767.660034	0.047 0.000 -0.023
ttt_random_ammo	850.917664 -624.038757 -767.662354	0.047 0.000 -0.025
ttt_random_ammo	851.971924 -590.913879 -767.636536	0.071 0.000 0.018
ttt_random_ammo	853.264587 -557.938965 -767.664795	0.046 0.000 -0.027
ttt_random_ammo	738.046814 -569.602051 -767.605896	0.956 0.011 1.109
ttt_random_ammo	737.047363 -605.200623 -767.561707	1.251 0.031 1.519
ttt_random_ammo	736.616577 -638.199463 -767.619019	0.191 0.001 0.173
ttt_random_ammo	735.828735 -675.056213 -767.559204	1.196 0.030 1.451
ttt_random_ammo	736.001221 -707.991760 -767.642517	0.060 0.000 0.001
ttt_random_ammo	889.856567 -344.544067 -830.542603	-0.891 -0.024 1.057
ttt_random_ammo	919.275879 -344.149841 -830.633301	-0.078 -0.000 0.028
ttt_random_ammo	958.271606 -343.616608 -830.639404	-0.064 -0.000 0.007
ttt_random_ammo	994.268494 -343.125092 -830.656860	-0.048 -0.000 -0.021
ttt_random_ammo	1033.267700 -342.587036 -830.597900	-0.634 -0.005 0.716
ttt_random_ammo	1069.266235 -342.095642 -830.542908	-1.291 -0.032 1.567
ttt_random_ammo	1108.249146 -341.560181 -830.622253	0.153 -0.001 -0.125
ttt_random_ammo	1138.247070 -341.148834 -830.659912	0.047 -0.000 0.023
ttt_random_ammo	698.390869 -110.095787 -815.558411	1.178 0.030 1.429
ttt_random_ammo	697.221191 -133.819824 -815.630859	0.091 0.000 0.045
ttt_random_ammo	493.640503 560.346130 -958.620605	0.172 0.001 0.149
ttt_random_ammo	493.714752 539.859680 -958.638489	0.067 0.000 0.012
ttt_random_ammo	473.308716 538.364563 -958.636536	0.072 0.000 0.019
ttt_random_ammo	85.986816 948.260986 -895.557556	1.160 0.029 1.408
ttt_random_ammo	111.843468 947.806702 -895.662354	0.047 0.000 -0.025
ttt_random_ammo	-1045.909424 1121.303101 0.353344	0.055 0.000 -0.007
ttt_random_ammo	-1046.124512 1100.325317 0.380989	0.192 0.001 0.173
ttt_random_ammo	-1043.420654 1082.753662 0.377723	0.152 -0.001 -0.124
ttt_random_ammo	-1073.050537 1094.338867 0.418534	1.641 -0.037 -1.991
ttt_random_ammo	-1073.418579 1122.474487 0.387928	0.364 0.002 0.386
ttt_random_ammo	-1073.868408 1158.468628 0.344583	0.049 0.000 -0.019
ttt_random_ammo	-1074.306885 1194.465698 0.431046	1.412 0.033 1.715
ttt_random_ammo	-1118.907471 1204.140015 0.415935	1.712 0.035 2.076
ttt_random_ammo	-1118.953735 1176.028442 0.430073	1.434 0.033 1.740
ttt_random_ammo	-1118.960083 1143.027344 0.393615	1.425 -0.024 -1.681
ttt_random_ammo	-1118.951172 1110.032471 0.382493	0.217 0.001 0.205
ttt_random_ammo	-1118.949951 1078.530884 0.342305	0.048 0.000 -0.021
ttt_random_ammo	-1162.470581 1080.538818 0.361528	0.067 -0.000 -0.012
ttt_random_ammo	-1162.030884 1118.194824 0.385098	0.280 -0.001 -0.284
ttt_random_ammo	-1161.521729 1151.766357 0.330357	0.046 0.000 -0.029
ttt_random_ammo	-1161.325928 1187.770874 0.335247	0.047 0.000 -0.027
ttt_random_ammo	-1161.897217 1225.880493 0.394102	0.962 0.012 1.117
ttt_random_ammo	-1204.339111 1224.528931 0.357509	0.060 0.000 0.001
ttt_random_ammo	-1206.449585 1184.552979 0.458988	0.795 0.023 0.965
ttt_random_ammo	-1203.446533 1149.258789 0.367313	0.083 0.000 0.035
ttt_random_ammo	-1204.206177 1121.134033 0.353343	0.055 0.000 -0.007
ttt_random_ammo	-1205.783203 1073.954224 0.411633	1.764 -0.030 -2.138
ttt_random_ammo	-1205.652710 1040.416748 0.380852	0.191 -0.001 -0.173
ttt_random_ammo	-1048.931519 1260.403442 60.497070	6.842 2.429 0.245
ttt_random_ammo	-1045.912842 1207.917725 3.619761	-89.011 178.692 89.633
ttt_random_ammo	-1078.763794 1239.043701 62.160614	1.011 0.354 4.937
ttt_random_ammo	-1091.889526 1251.552368 62.685497	-0.113 0.004 0.555
ttt_random_ammo	-1077.046875 1265.505737 62.238914	3.761 -1.682 -4.488
ttt_random_ammo	-1112.002808 1237.623169 62.210827	0.128 -0.806 2.085
ttt_random_ammo	-1115.732544 1262.562378 62.668903	-0.076 0.004 0.664
ttt_random_ammo	-1038.102661 1178.629028 76.172203	0.473 0.003 0.523
ttt_random_ammo	-1039.990723 1157.580078 76.124390	0.044 0.000 -0.025
ttt_random_ammo	-1122.619385 1041.052856 33.544353	-0.001 -0.364 0.000
ttt_random_ammo	-1145.609985 1039.831543 33.543827	-0.001 -0.741 0.000
ttt_random_ammo	-1147.165649 1051.715698 11.840140	-0.001 -0.516 0.000
ttt_random_ammo	-1113.449707 1047.959229 14.104288	-0.001 68.917 89.999
ttt_random_ammo	-1075.209351 1045.225830 11.831711	-0.002 0.627 0.002
ttt_random_ammo	-1045.977783 1048.429688 14.094740	89.997 104.828 180.000
ttt_random_ammo	-1027.327271 1049.990234 11.800365	1.510 9.688 -1.298
ttt_random_ammo	-1033.378540 1040.110107 33.536732	-0.002 -1.284 0.002
ttt_random_ammo	-1059.124146 1040.482178 33.535835	-0.002 0.249 0.002
ttt_random_ammo	-1075.843872 1040.702759 33.535252	-0.002 0.259 0.002
ttt_random_ammo	-1074.838013 1044.607544 72.359306	-0.002 2.083 0.002
ttt_random_ammo	-1051.320435 1044.070068 72.356667	0.467 -0.074 0.569
ttt_random_ammo	-1032.567749 1043.512939 72.358803	0.033 -0.011 0.002
ttt_random_ammo	-1032.897705 1047.292480 97.404900	0.181 -0.193 -0.110
ttt_random_ammo	-1047.348877 1047.216187 97.381622	0.394 0.025 0.436
ttt_random_ammo	-1068.405518 1047.039795 97.353127	0.464 -0.009 -0.861
ttt_random_ammo	-1121.383667 1042.955688 97.444420	-0.001 -0.933 -0.004
ttt_random_ammo	-1141.249268 1044.012207 97.442535	-0.042 0.331 0.000
ttt_random_ammo	-1155.426270 1044.619141 97.438103	-0.263 0.113 0.308
ttt_random_ammo	-1117.794678 1038.407837 72.349556	0.123 -0.842 -0.240
ttt_random_ammo	-1134.017456 1039.240112 72.333626	-0.255 -0.009 0.342
ttt_random_ammo	-1150.730469 1038.795410 72.310181	0.270 0.004 0.304
ttt_random_ammo	-1642.385010 527.026367 -127.635368	-0.072 -0.000 0.019
ttt_random_ammo	-1678.127441 527.967773 -127.629402	-0.091 -0.000 0.045
ttt_random_ammo	-1658.807983 545.684570 -127.654648	-0.049 -0.000 -0.019
ttt_random_ammo	-2286.433105 670.251526 -127.627243	0.109 0.000 0.068
ttt_random_ammo	-2271.213623 657.761475 -127.557571	1.123 -0.029 -1.362
ttt_random_ammo	-2268.877686 681.281189 -127.636505	0.072 0.000 0.019
ttt_random_ammo	-2291.687988 -209.353653 -127.657692	0.048 0.000 -0.021
ttt_random_ammo	-2267.511963 -216.136856 -127.634575	0.077 0.000 0.026
ttt_random_ammo	-2272.916260 -198.252426 -127.578415	1.587 0.042 1.923
ttt_random_ammo	-2285.117676 -483.251495 -127.650963	0.051 0.000 -0.014
ttt_random_ammo	-2283.430908 -446.610565 -127.636505	0.072 0.000 0.019
ttt_random_ammo	-2251.601318 -465.179077 -127.557068	1.059 0.027 1.275
ttt_random_ammo	-2035.663086 -860.829834 -144.849640	0.632 -0.677 -7.551
ttt_random_ammo	-2020.028442 -863.049500 -145.020966	1.938 -1.860 -9.228
ttt_random_ammo	-1915.515137 -1267.007324 -31.534277	-0.964 -0.026 1.169
ttt_random_ammo	-1896.493774 -1267.027344 -31.616030	-0.188 -0.001 0.169
ttt_random_ammo	-1039.907959 -1705.269653 0.355446	0.057 0.000 -0.004
ttt_random_ammo	-1066.406006 -1706.208740 0.351206	0.053 0.000 -0.011
ttt_random_ammo	-1370.570557 -1234.773682 -131.930161	-1.550 -0.486 3.244
ttt_random_ammo	-1357.697021 -1232.297241 -131.411987	-1.603 -0.559 2.371
ttt_random_ammo	2209.579102 1671.169067 -1215.664795	0.046 0.000 -0.027
ttt_random_ammo	2211.566162 1631.634766 -1215.630859	0.090 0.000 0.044
ttt_random_ammo	2213.649170 1589.689453 -1215.572510	1.368 0.032 1.648
ttt_random_ammo	2215.743896 1547.737549 -1215.674683	0.047 0.000 -0.032
ttt_random_ammo	2217.983643 1502.794800 -1215.636475	0.071 0.000 0.018
